energyColor,energyLabel,latitude,longitude,ownership,postNumber,propertyType,totalPrice,usableArea
,,62.3382927647266,5.65718730828581,Eier (Selveier),6091,,4877143,144
,B,62.5085541966991,6.68448006075809,Eier (Selveier),6260,,5163335,113
,,59.0346,6.0342,Eier (Selveier),4103,,7155942,183
,,63.424957,10.53859,Eier (Selveier),7054,,4043171,56
,,58.9498,5.7436,Eier (Selveier),4016,,5039496,68
,,63.33705,10.062469,Eier (Selveier),7353,,4768270,93
,,62.779346,9.596616,Eier (Selveier),7393,,3038405,78
,,63.4710645067252,10.9311137716353,Eier (Selveier),7500,,4413869,83
,,63.43671,10.457115,Eier (Selveier),7044,,7331299,85
,,63.43175,10.355423,Eier (Selveier),7018,,4787964,66
,,63.4313760753919,10.3592331427563,Eier (Selveier),7018,,,
,,63.1979,10.2997,Andel,7234,,4305925,90
,,63.5844,9.9595,Eier (Selveier),7100,,1912009,43
,,69.6525327205634,18.9699857329821,Andel,9008,,3558830,43
,,68.7789249823813,16.1600685390759,Eier (Selveier),9475,,,
,,69.5632,19.1885,Eier (Selveier),9027,,5186257,94
Lysegrønn,B,69.0768407296487,18.5202882569734,Eier (Selveier),9325,,4940000,133
,,69.6815,19.0836,Andel,9022,Leilighet,10192500,140
Lysegrønn,B,69.9472,23.2169,Andel,9512,,3554580,61
,,58.1583711219159,8.00030427164245,Eier (Selveier),4630,,13076170,203
,,58.0802771791299,7.83341550187839,Eier (Selveier),4640,,8561372,231
,,58.0748,7.8754,Eier (Selveier),4643,,8342420,164
Oransje,B,58.1112465267503,7.96868031391093,Eier (Selveier),4623,,6047002,127
