bedrooms,built,createDate,energyColor,energyLabel,finnkode,isSold,lastUpdated,latitude,longitude,ownership,postNumber,primaryRoom,propertyType,rooms,totalPrice,usableArea
3,,2023-08-07T09:34:27.831+02:00,,,313991550,True,2023-10-26T10:08:12.298+02:00,58.4513705811742,6.00995232092755,Eier (Selveier),4370,98,Leilighet,,6910092,106
2,,2023-08-07T09:34:27.831+02:00,,,313991550,True,2023-10-26T10:08:12.298+02:00,58.4513705811742,6.00995232092755,Eier (Selveier),4370,77,Leilighet,,5710092,82
2,,2023-08-07T09:34:27.831+02:00,,,313991550,False,2023-10-26T10:08:12.298+02:00,58.4513705811742,6.00995232092755,Eier (Selveier),4370,77,Leilighet,,5510092,82
2,,2023-08-07T09:34:27.831+02:00,,,313991550,False,2023-10-26T10:08:12.298+02:00,58.4513705811742,6.00995232092755,Eier (Selveier),4370,98,Leilighet,,6710092,98
3,,2023-08-07T09:34:27.831+02:00,,,313991550,True,2023-10-26T10:08:12.298+02:00,58.4513705811742,6.00995232092755,Eier (Selveier),4370,98,Leilighet,,7010092,98
3,,2023-08-07T09:34:27.831+02:00,,,313991550,True,2023-10-26T10:08:12.298+02:00,58.4513705811742,6.00995232092755,Eier (Selveier),4370,98,Leilighet,,7110092,106
4,2023,2023-06-16T15:25:12.452+02:00,,,307422859,False,2023-06-29T02:15:55.517+02:00,59.9677380939507,10.7971028374346,Eier (Selveier),0495,134,Tomannsbolig,,14051342,134
4,,2023-08-08T08:27:20.513+02:00,,,314157005,True,2023-11-09T09:38:26.612+01:00,62.7501675477611,7.2535514831543,Eier (Selveier),6422,139,Enebolig,5,7524342,139
4,2023,2023-06-16T15:25:12.452+02:00,,,307422859,False,2023-06-29T02:15:55.517+02:00,59.9677380939507,10.7971028374346,Eier (Selveier),0495,134,Tomannsbolig,,13551342,134
3,,2023-08-08T08:27:20.513+02:00,,,314157005,False,2023-11-09T09:38:26.612+01:00,62.7501675477611,7.2535514831543,Eier (Selveier),6422,116,Rekkehus,4,5219342,122
3,,2023-08-08T08:27:20.513+02:00,,,314157005,False,2023-11-09T09:38:26.612+01:00,62.7501675477611,7.2535514831543,Eier (Selveier),6422,116,Rekkehus,4,5069342,122
3,,2023-08-08T08:27:20.513+02:00,,,314157005,False,2023-11-09T09:38:26.612+01:00,62.7501675477611,7.2535514831543,Eier (Selveier),6422,116,Rekkehus,4,5269342,122
3,,2023-08-08T08:27:20.513+02:00,,,314157005,False,2023-11-09T09:38:26.612+01:00,62.7501675477611,7.2535514831543,Eier (Selveier),6422,116,Rekkehus,4,5119342,122
3,,2023-08-08T08:27:20.513+02:00,,,314157005,False,2023-11-09T09:38:26.612+01:00,62.7501675477611,7.2535514831543,Eier (Selveier),6422,116,Rekkehus,4,5289342,122
3,,2023-08-08T08:27:20.513+02:00,,,314157005,False,2023-11-09T09:38:26.612+01:00,62.7501675477611,7.2535514831543,Eier (Selveier),6422,116,Rekkehus,4,5339342,122
2,,2022-03-15T19:39:02.712+01:00,,,251474609,False,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,78,Leilighet,3,5594000,81
1,,2022-10-18T13:34:08.333+02:00,Mørkegrønn,C,277609487,False,2023-11-13T08:19:25.105+01:00,59.9257,10.8139,Andel,0581,51,Leilighet,2,5827193,51
2,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,78,Leilighet,3,5594000,81
1,,2022-03-15T19:39:02.712+01:00,,,251474609,False,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,55,Leilighet,2,3994000,60
1,,2022-03-15T19:39:02.712+01:00,,,251474609,False,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,46,Leilighet,2,3194000,49
2,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,69,Leilighet,3,5394000,78
1,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,47,Leilighet,2,3034000,47
1,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,36,Leilighet,2,2494000,36
1,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,49,Leilighet,2,3544000,54
1,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,46,Leilighet,2,3034000,49
1,,2022-03-15T19:39:02.712+01:00,,,251474609,False,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,46,Leilighet,2,3644000,49
2,,2022-03-15T19:39:02.712+01:00,,,251474609,False,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,68,Leilighet,3,4994000,77
1,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,39,Leilighet,2,2534000,39
2,,2022-03-15T19:39:02.712+01:00,,,251474609,False,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,69,Leilighet,3,5194000,78
3,,2022-03-15T19:39:02.712+01:00,,,251474609,True,2023-11-08T17:00:27.485+01:00,68.7996,16.5484,Andel,9405,92,Leilighet,4,6344000,93
