latitude,longitude,postNumber,totalPrice,usableArea
59.967704496074,10.7730023048249,0884,16846692,114
60.1545400477807,11.1917094881126,2067,4709380,70
59.6602158015948,10.7947309728927,1430,5831607,73
59.7168125609042,10.8053960740929,1406,5247648,70
60.1852,10.3418,3514,5401759,130
59.4811733115254,10.6888925627046,1538,0,0
63.4806776284458,10.9596558724275,7506,0,0
63.4314743466758,10.4657745795484,7044,4062240,50
59.9613875264536,11.033690873252,2003,16443009,214
59.5469793786435,10.0806371170767,3090,0,0
59.4813598438622,10.6885505631815,1538,0,0
59.790702825192,10.8020496368408,1415,0,0
59.3760205666186,10.7551310208412,1580,4625962,75
59.922463679487,10.9548913413753,1473,5210847,60
59.9237907818309,10.9541922778801,1473,6431782,78
59.9236534641092,10.5917354023367,1357,7761941,65
59.9237907818309,10.9541922778801,1473,6723348,80
60.1181744859325,10.8517381226167,1487,0,0
59.9237907818309,10.9541922778801,1473,6206904,71
60.2738765286826,10.1856994628906,3525,4211243,73
58.1879899967513,8.09829502547115,4656,6298636,176
62.4290085261344,6.41138076782227,6013,7300000,180
60.8943494060562,11.5918211151141,2413,3591872,82
60.8262558252247,11.054074322036,2320,6267497,146
59.2724331493253,11.0722214826507,1715,5043425,155
60.7743,10.7102,2816,12091667,226
59.9339,11.0361,2014,6017691,85
59.9236534641092,10.5917354023367,1357,9113705,78
59.2702448356784,11.1794471740723,1739,4398524,129
59.9151712073306,11.0784471961592,2008,7058923,127
60.9274,10.7129,2390,5283842,124
58.8978,5.6487,4055,5960614,119
58.0720807820657,7.76082610863014,4641,5288246,136
61.9045308730861,5.99424362182617,6770,3735000,97
58.9992,5.7328,4083,7370912,161
59.6602158015948,10.7947309728927,1430,0,0
60.1561,11.131,2067,7550670,140
60.0243,11.1175,2016,4647271,83
59.9511,11.0593,2004,6969404,88
59.6602158015948,10.7947309728927,1430,4903370,60
60.2647815006016,5.35503404000961,5243,8288142,161
59.8340977031505,10.4128940886552,1383,8382710,80
62.3270958150453,5.66960534790781,6092,4140000,117
59.1133041455314,11.4327082745621,1793,3500702,87
59.7860533803276,10.4428582080008,1389,6563934,101
62.3273748461394,5.66972955765662,6092,2865000,82
62.1859087288624,6.09459215435479,6160,4223333,116
59.7860533803276,10.4428582080008,1389,4559508,67
62.3349077062359,5.85674620558568,6065,4290000,115
61.7817328388617,6.20916318200694,6823,4240000,117
62.3351069626039,5.85681084824131,6065,3490000,78
61.9099771565139,6.7405862609489,6783,4240000,117
62.3453270411888,5.60182576962528,6098,3990000,117
59.6602158015948,10.7947309728927,1430,7101765,92
61.9099872600345,6.74020701761021,6783,3216667,82
60.1566,11.1791,2068,11060124,249
59.7324403632731,9.86816516001684,3320,4728992,116
60.1435,11.1928,2050,5129073,71
60.1548556602847,11.1938028325539,2069,5512025,93
59.6602158015948,10.7947309728927,1430,7924265,91
59.3519958397826,10.8722023491192,1640,0,0
60.0721,11.1332,2040,4743902,71
60.1383631094021,11.1662500452819,2050,5158705,73
59.2107640415755,11.0016818521139,1639,4576697,75
59.7491,10.0114,3050,5582624,82
59.4207,9.0557,3802,3846445,120
59.2107640415755,11.0016818521139,1639,9706766,134
59.2328978197187,10.9198019804159,1614,4846153,80
60.2528,11.1979,2072,5221374,125
59.2107640415755,11.0016818521139,1639,6518517,102
